cost_component|cost_period|same_education_req|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|after_index|no|bd_00#inc_2016_2021|father|0-24|621051748.95|83170|70356733.561|83170|7467.2568108|845.93884286
secondary_sector|after_index|no|bd_00#inc_2016_2021|mother|0-24|594811071.15|67073|63281021.799|67073|8868.1149069|943.46490837
secondary_sector|after_index|no|bd_00#inc_2016_2021|closest_rel|25-64|2208452799.3|182621.70829|142726620.41|182621.70829|12093.04644|781.54246688
secondary_sector|after_index|no|bd_00#inc_2016_2021|closest_rel|65+|1635954031.5|108084|80545970.933|108084|15135.950108|745.21641439
secondary_sector|after_index|yes|bd_00#inc_2016_2021|father|0-24|614435358.68|82645|50087260.444|82645|7434.6343841|606.05312414
secondary_sector|after_index|yes|bd_00#inc_2016_2021|mother|0-24|589430311.73|66540|58613324.37|66540|8858.2854182|880.87352525
secondary_sector|after_index|yes|bd_00#inc_2016_2021|closest_rel|25-64|2150566165|178337.84254|184904705.11|178337.84254|12058.944609|1036.8225973
secondary_sector|after_index|yes|bd_00#inc_2016_2021|closest_rel|65+|1621743012.6|107276|53495125.829|107276|15117.482127|498.66816277
secondary_sector|before_index|no|bd_00#inc_2016_2021|father|0-24|513251261.01|83170|61754849.033|83170|6171.1105088|742.51351489
secondary_sector|before_index|no|bd_00#inc_2016_2021|mother|0-24|567780659.67|67073|35807991.029|67073|8465.1150191|533.86595246
secondary_sector|before_index|no|bd_00#inc_2016_2021|closest_rel|25-64|1806998940.7|182621.70829|102130332.18|182621.70829|9894.7652914|559.24530074
secondary_sector|before_index|no|bd_00#inc_2016_2021|closest_rel|65+|1385464189.6|108084|135447538.03|108084|12818.402258|1253.1691835
secondary_sector|before_index|yes|bd_00#inc_2016_2021|father|0-24|508366770.72|82645|21166924.989|82645|6151.2102452|256.11863984
secondary_sector|before_index|yes|bd_00#inc_2016_2021|mother|0-24|563680072.78|66540|46544529.639|66540|8471.2965552|699.49698887
secondary_sector|before_index|yes|bd_00#inc_2016_2021|closest_rel|25-64|1765432488.7|178337.84254|111029684.9|178337.84254|9899.3711239|622.5806218
secondary_sector|before_index|yes|bd_00#inc_2016_2021|closest_rel|65+|1373770470|107276|124384481.31|107276|12805.9442|1159.4809772
secondary_sector|after_index|no|bd_00#prev_2021|father|0-24|1030442020|131137|66698456.665|131137|7857.751969|508.61661213
secondary_sector|after_index|no|bd_00#prev_2021|mother|0-24|917560598.97|100582|149117873.8|100582|9122.5129642|1482.5502953
secondary_sector|after_index|no|bd_00#prev_2021|closest_rel|25-64|10855741577|859604.93716|588187549.92|859604.93716|12628.756662|684.25334068
secondary_sector|after_index|no|bd_00#prev_2021|closest_rel|65+|5698377574.4|395002.06284|104519864.28|395002.06284|14426.197001|264.60586948
secondary_sector|after_index|yes|bd_00#prev_2021|father|0-24|1022154311.3|130455|76561665.892|130455|7835.3019145|586.88180516
secondary_sector|after_index|yes|bd_00#prev_2021|mother|0-24|911402217.85|99933|109908883.4|99933|9120.1326674|1099.8257172
secondary_sector|after_index|yes|bd_00#prev_2021|closest_rel|25-64|10593061486|838858.8224|481511572.02|838858.8224|12627.943109|574.00787732
secondary_sector|after_index|yes|bd_00#prev_2021|closest_rel|65+|5656747149.3|392623|169036617.62|392623|14407.579661|430.53162351
secondary_sector|before_index|no|bd_00#prev_2021|father|0-24|830324758.16|131137|47494581.611|131137|6331.7351942|362.17529462
secondary_sector|before_index|no|bd_00#prev_2021|mother|0-24|789157867.81|100582|117994836.08|100582|7845.9154502|1173.1207978
secondary_sector|before_index|no|bd_00#prev_2021|closest_rel|25-64|8747052066.7|859604.93716|460843475.93|859604.93716|10175.665225|536.110783
secondary_sector|before_index|no|bd_00#prev_2021|closest_rel|65+|4514019086.3|395002.06284|83667273.22|395002.06284|11427.83674|211.81477539
secondary_sector|before_index|yes|bd_00#prev_2021|father|0-24|825383245.81|130455|69188770.265|130455|6326.9575395|530.36503211
secondary_sector|before_index|yes|bd_00#prev_2021|mother|0-24|784586909.2|99933|95046894.919|99933|7851.1293487|951.10619034
secondary_sector|before_index|yes|bd_00#prev_2021|closest_rel|25-64|8525289747.2|838858.8224|428803612.09|838858.8224|10162.961299|511.17494463
secondary_sector|before_index|yes|bd_00#prev_2021|closest_rel|65+|4480639533.6|392623|133157505.56|392623|11412.065859|339.14851031
secondary_sector|after_index|no|bd_01#inc_2016_2021|father|0-24|34385042.18|2264|2687570.979|2264|15187.739479|1187.089655
secondary_sector|after_index|no|bd_01#inc_2016_2021|mother|0-24|42835124.75|2767|8119807.8353|2767|15480.710065|2934.5167457
secondary_sector|after_index|no|bd_01#inc_2016_2021|closest_rel|25-64|514081600.46|26734|73484264.955|26734|19229.505516|2748.7194193
secondary_sector|after_index|no|bd_01#inc_2016_2021|closest_rel|65+|217133963.35|10225|25233289.472|10225|21235.595438|2467.8033713
secondary_sector|after_index|yes|bd_01#inc_2016_2021|father|0-24|34271979.07|2251|4310561.8197|2251|15225.223931|1914.9541625
secondary_sector|after_index|yes|bd_01#inc_2016_2021|mother|0-24|42425011.328|2751|3322616.3198|2751|15421.668967|1207.7849218
secondary_sector|after_index|yes|bd_01#inc_2016_2021|closest_rel|25-64|485505264.13|25037|66006988.654|25037|19391.511129|2636.3777071
secondary_sector|after_index|yes|bd_01#inc_2016_2021|closest_rel|65+|215608728.57|10167|30099488.976|10167|21206.720622|2960.5084072
secondary_sector|before_index|no|bd_01#inc_2016_2021|father|0-24|28517530.379|2264|2664962.6304|2264|12596.082323|1177.1036353
secondary_sector|before_index|no|bd_01#inc_2016_2021|mother|0-24|43345144.492|2767|10035601.184|2767|15665.032343|3626.8887547
secondary_sector|before_index|no|bd_01#inc_2016_2021|closest_rel|25-64|446852690.25|26734|32593165.002|26734|16714.771087|1219.1652952
secondary_sector|before_index|no|bd_01#inc_2016_2021|closest_rel|65+|202099235.12|10225|36760227.6|10225|19765.206368|3595.1322836
secondary_sector|before_index|yes|bd_01#inc_2016_2021|father|0-24|28452338.9|2251|1525376.4099|2251|12639.866237|677.643896
secondary_sector|before_index|yes|bd_01#inc_2016_2021|mother|0-24|42588253.979|2751|6915463.3439|2751|15481.008353|2513.7998342
secondary_sector|before_index|yes|bd_01#inc_2016_2021|closest_rel|25-64|421311666.06|25037|12821455.32|25037|16827.561851|512.10030435
secondary_sector|before_index|yes|bd_01#inc_2016_2021|closest_rel|65+|201454186.63|10167|25099106.662|10167|19814.516242|2468.6836493
secondary_sector|after_index|no|bd_01#prev_2021|father|0-24|21127180.661|1527|1725407.4035|1527|13835.743721|1129.9328117
secondary_sector|after_index|no|bd_01#prev_2021|mother|0-24|32963628.969|1807|11222166.587|1807|18242.185373|6210.3854937
secondary_sector|after_index|no|bd_01#prev_2021|closest_rel|25-64|1839153200.7|89745|197899106.17|89745|20493.099345|2205.1268168
secondary_sector|after_index|no|bd_01#prev_2021|closest_rel|65+|780159203.88|39741|77863320.804|39741|19631.091414|1959.2692887
secondary_sector|after_index|yes|bd_01#prev_2021|father|0-24|21083363.466|1521|3413475.4234|1521|13861.514442|2244.2310476
secondary_sector|after_index|yes|bd_01#prev_2021|mother|0-24|32895751.583|1799|5686136.1245|1799|18285.5762|3160.7204694
secondary_sector|after_index|yes|bd_01#prev_2021|closest_rel|25-64|1737036134|83649|153169392.98|83649|20765.77286|1831.0965222
secondary_sector|after_index|yes|bd_01#prev_2021|closest_rel|65+|775525800.65|39496|66331107.179|39496|19635.552984|1679.4386059
secondary_sector|before_index|no|bd_01#prev_2021|father|0-24|18598031.829|1527|3234486.3001|1527|12179.457649|2118.1966602
secondary_sector|before_index|no|bd_01#prev_2021|mother|0-24|31954791.855|1807|8957885.025|1807|17683.891453|4957.3243083
secondary_sector|before_index|no|bd_01#prev_2021|closest_rel|25-64|1712811063.2|89745|222500419.59|89745|19085.309078|2479.2514301
secondary_sector|before_index|no|bd_01#prev_2021|closest_rel|65+|716109285|39741|77842220.73|39741|18019.40779|1958.7383491
