var_pop|agegroup|closest_relative_type|case_relative|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
bd_00#inc_2016_2021|0-24|father|0|__n|__n|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|0|male|male|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: +3|575 (0.7)|0.69135505590958||575
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: 0|76,841 (92.4)|92.3902849585187||76841
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: 1-2|5,754 (6.9)|6.91835998557172||5754
bd_00#inc_2016_2021|0-24|father|0|age_index|age_index|48.0 (42.2;53.1)|42.215487686204|53.0904109589041|47.980821918
bd_00#inc_2016_2021|0-24|father|1|__n|__n|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|1|male|male|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: +3|580 (0.7)|0.69736683900444||580
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: 0|76,278 (91.7)|91.7133581820368||76278
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: 1-2|6,312 (7.6)|7.58927497895875||6312
bd_00#inc_2016_2021|0-24|father|1|age_index|age_index|47.9 (41.9;53.1)|41.9150684931506|53.0904109589041|47.882191781
bd_00#inc_2016_2021|0-24|mother|0|__n|__n|67,073 (100.0)|100||67073
bd_00#inc_2016_2021|0-24|mother|0|male|male|0 (0.0)|0||0
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: +3|390 (0.6)|0.58145602552442||390
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 0|61,695 (92.0)|91.9818704993067||61695
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 1-2|4,988 (7.4)|7.43667347516884||4988
bd_00#inc_2016_2021|0-24|mother|0|age_index|age_index|45.9 (40.2;50.8)|40.1780821917808|50.8465753424657|45.944419492
bd_00#inc_2016_2021|0-24|mother|1|__n|__n|67,073 (100.0)|100||67073
bd_00#inc_2016_2021|0-24|mother|1|male|male|0 (0.0)|0||0
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: +3|456 (0.7)|0.67985627599779||456
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 0|60,934 (90.8)|90.8472857930911||60934
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 1-2|5,683 (8.5)|8.47285793091109||5683
bd_00#inc_2016_2021|0-24|mother|1|age_index|age_index|45.9 (39.9;50.8)|39.8876712328767|50.836177857624|45.858926566
bd_00#inc_2016_2021|25-64|relative|0|__n|__n|182,624 (100.0)|100||182624
bd_00#inc_2016_2021|25-64|relative|0|male|male|96,506 (52.8)|52.8440949710881||96506
bd_00#inc_2016_2021|25-64|relative|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|relative|0|cci_g|cci_g: +3|3,067 (1.7)|1.67940686875766||3067
bd_00#inc_2016_2021|25-64|relative|0|cci_g|cci_g: 0|159,846 (87.5)|87.5273786577886||159846
bd_00#inc_2016_2021|25-64|relative|0|cci_g|cci_g: 1-2|19,711 (10.8)|10.7932144734536||19711
bd_00#inc_2016_2021|25-64|relative|0|age_index|age_index|51.8 (39.2;60.8)|39.2027397260274|60.7725989969309|51.849315068
bd_00#inc_2016_2021|25-64|relative|1|__n|__n|182,624 (100.0)|100||182624
bd_00#inc_2016_2021|25-64|relative|1|male|male|97,423 (53.3)|53.3462195549325||97423
bd_00#inc_2016_2021|25-64|relative|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|relative|1|cci_g|cci_g: +3|3,364 (1.8)|1.84203609602242||3364
bd_00#inc_2016_2021|25-64|relative|1|cci_g|cci_g: 0|158,735 (86.9)|86.9190248817242||158735
bd_00#inc_2016_2021|25-64|relative|1|cci_g|cci_g: 1-2|20,525 (11.2)|11.2389390222533||20525
bd_00#inc_2016_2021|25-64|relative|1|age_index|age_index|51.6 (39.0;60.6)|39.0140541956733|60.6188487162212|51.62739726
bd_00#inc_2016_2021|65+|relative|0|__n|__n|108,085 (100.0)|100||108085
bd_00#inc_2016_2021|65+|relative|0|male|male|54,528 (50.4)|50.4491835129759||54528
bd_00#inc_2016_2021|65+|relative|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|65+|relative|0|cci_g|cci_g: +3|3,000 (2.8)|2.77559328306425||3000
bd_00#inc_2016_2021|65+|relative|0|cci_g|cci_g: 0|88,937 (82.3)|82.2843132719618||88937
bd_00#inc_2016_2021|65+|relative|0|cci_g|cci_g: 1-2|16,148 (14.9)|14.9400934449738||16148
bd_00#inc_2016_2021|65+|relative|0|age_index|age_index|58.2 (49.0;70.9)|48.9698630136986|70.8958904109589|58.212905158
bd_00#inc_2016_2021|65+|relative|1|__n|__n|108,085 (100.0)|100||108085
bd_00#inc_2016_2021|65+|relative|1|male|male|54,485 (50.4)|50.4094000092519||54485
bd_00#inc_2016_2021|65+|relative|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|65+|relative|1|cci_g|cci_g: +3|3,450 (3.2)|3.19193227552389||3450
bd_00#inc_2016_2021|65+|relative|1|cci_g|cci_g: 0|88,270 (81.7)|81.6672063653606||88270
bd_00#inc_2016_2021|65+|relative|1|cci_g|cci_g: 1-2|16,365 (15.1)|15.1408613591155||16365
bd_00#inc_2016_2021|65+|relative|1|age_index|age_index|58.2 (49.1;70.8)|49.0956957856127|70.8410958904109|58.21731417
bd_00#prev_2021|0-24|father|0|__n|__n|131,137 (100.0)|100||131137
bd_00#prev_2021|0-24|father|0|male|male|131,137 (100.0)|100||131137
bd_00#prev_2021|0-24|father|0|cci_g|cci_g: title||||
bd_00#prev_2021|0-24|father|0|cci_g|cci_g: +3|973 (0.7)|0.74197213601043||973
bd_00#prev_2021|0-24|father|0|cci_g|cci_g: 0|120,064 (91.6)|91.5561588262656||120064
bd_00#prev_2021|0-24|father|0|cci_g|cci_g: 1-2|10,100 (7.7)|7.7018690377239||10100
bd_00#prev_2021|0-24|father|0|age_index|age_index|50.3 (45.3;54.9)|45.2876712328767|54.8958904109589|50.252054795
bd_00#prev_2021|0-24|father|1|__n|__n|131,137 (100.0)|100||131137
bd_00#prev_2021|0-24|father|1|male|male|131,137 (100.0)|100||131137
bd_00#prev_2021|0-24|father|1|cci_g|cci_g: title||||
bd_00#prev_2021|0-24|father|1|cci_g|cci_g: +3|1,133 (0.9)|0.86398194254863||1133
bd_00#prev_2021|0-24|father|1|cci_g|cci_g: 0|118,836 (90.6)|90.6197335610849||118836
bd_00#prev_2021|0-24|father|1|cci_g|cci_g: 1-2|11,168 (8.5)|8.51628449636639||11168
bd_00#prev_2021|0-24|father|1|age_index|age_index|50.0 (44.9;54.8)|44.9453551912568|54.7780821917808|50.024657534
bd_00#prev_2021|0-24|mother|0|__n|__n|100,582 (100.0)|100||100582
bd_00#prev_2021|0-24|mother|0|male|male|0 (0.0)|0||0
bd_00#prev_2021|0-24|mother|0|cci_g|cci_g: title||||
bd_00#prev_2021|0-24|mother|0|cci_g|cci_g: +3|649 (0.6)|0.64524467598576||649
bd_00#prev_2021|0-24|mother|0|cci_g|cci_g: 0|91,843 (91.3)|91.3115666819112||91843
bd_00#prev_2021|0-24|mother|0|cci_g|cci_g: 1-2|8,090 (8.0)|8.04318864210296||8090
