cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_06#prev_2021|relative|25-64|66571716.441|3018|8413724.8547|3018|22058.22281|2787.8478644
secondary_sector|bd_06#prev_2021|relative|65+|828101704.86|34289|66106378.122|34289|24150.651954|1927.9179364
secondary_sector|bd_07#inc_2016_2021|father|0-24|275055284.71|23140|20404327.278|23140|11886.572373|881.77732403
secondary_sector|bd_07#inc_2016_2021|mother|0-24|240419528.08|20475|25504612.336|20475|11742.101494|1245.6465121
secondary_sector|bd_07#inc_2016_2021|relative|25-64|1212816756.2|79338|113104621.14|79338|15286.706953|1425.6046427
secondary_sector|bd_07#inc_2016_2021|relative|65+|1105695504.8|52179|103701250.14|52179|21190.431108|1987.4135215
secondary_sector|bd_07#prev_2021|father|0-24|226992082.57|18831|11430412.484|18831|12054.170388|606.99976019
secondary_sector|bd_07#prev_2021|mother|0-24|206194085.61|16253|48085716.661|16253|12686.524679|2958.5748269
secondary_sector|bd_07#prev_2021|relative|25-64|6789320958.5|423758.81967|440783790.51|423758.81967|16021.662897|1040.1760861
secondary_sector|bd_07#prev_2021|relative|65+|3528074141.6|180956.61475|155992166.76|180956.61475|19496.795662|862.04180474
secondary_sector|bd_08#inc_2016_2021|father|0-24|520389406.07|49390|72442463.833|49390|10536.331364|1466.743548
secondary_sector|bd_08#inc_2016_2021|mother|0-24|695328803.84|51687|108551218.75|51687|13452.682567|2100.1648143
secondary_sector|bd_08#inc_2016_2021|relative|25-64|382133562.82|21680|57490822.7|21680|17626.086846|2651.790715
secondary_sector|bd_08#inc_2016_2021|relative|65+|14483134.569|750|-1033857.123|750|19310.846092|-1378.476164
secondary_sector|bd_08#prev_2021|father|0-24|1052791812.4|83499|178704031.29|83499|12608.436178|2140.1936704
secondary_sector|bd_08#prev_2021|mother|0-24|1315374679.3|87349|330961842.26|87349|15058.840734|3788.9597164
secondary_sector|bd_08#prev_2021|relative|25-64|1388653652.7|75127.789617|203418960.9|75127.789617|18483.88805|2707.6393693
secondary_sector|bd_08#prev_2021|relative|65+|32194986.944|1598|1090734.0739|1598|20147.050653|682.56199866
secondary_sector|bd_09#inc_2016_2021|father|0-24|96824849.293|6372|18067679.347|6372|15195.362413|2835.4801235
secondary_sector|bd_09#inc_2016_2021|mother|0-24|132954959.23|7294|43890163.972|7294|18227.990024|6017.2969526
secondary_sector|bd_09#inc_2016_2021|relative|25-64|164405184.59|7924|23906341.149|7924|20747.751715|3016.9537038
secondary_sector|bd_09#inc_2016_2021|relative|65+|22132050.358|917|2724438.0516|917|24135.278471|2971.0338622
secondary_sector|bd_09#prev_2021|father|0-24|91112545.906|5187|29509554.024|5187|17565.557337|5689.137078
secondary_sector|bd_09#prev_2021|mother|0-24|106392820.64|5991|25611338.702|5991|17758.774936|4274.9689036
secondary_sector|bd_09#prev_2021|relative|25-64|803802767.85|37415|136138685.67|37415|21483.436265|3638.6124728
secondary_sector|bd_09#prev_2021|relative|65+|71722588.777|3162|17540652.226|3162|22682.665647|5547.3283447
secondary_sector|bd_10#inc_2016_2021|father|0-24|48532855.029|4481|-5049325.801|4481|10830.808978|-1126.830127
secondary_sector|bd_10#inc_2016_2021|mother|0-24|57131712.176|4686|-3253783.799|4686|12192.000038|-694.3627398
secondary_sector|bd_10#inc_2016_2021|relative|25-64|14243958.608|1183|-3947796.894|1183|12040.53982|-3337.106419
secondary_sector|bd_10#inc_2016_2021|relative|65+|268956.91984|23|-213027.4842|23|11693.779123|-9262.064531
secondary_sector|bd_10#prev_2021|father|0-24|63421584.321|5073|910747.12273|5073|12501.79072|179.5283112
secondary_sector|bd_10#prev_2021|mother|0-24|64987050.856|5324|-931437.0586|5324|12206.433294|-174.950612
secondary_sector|bd_10#prev_2021|relative|25-64|145057388.8|10960|-1792819.021|10960|13235.163212|-163.5783778
secondary_sector|bd_10#prev_2021|relative|65+|1332095.5054|97|-1132094.231|97|13732.943354|-11671.07455
secondary_sector|bd_11#inc_2016_2021|father|0-24|46737346.728|4919|-1840970.398|4919|9501.3918942|-374.2570437
secondary_sector|bd_11#inc_2016_2021|mother|0-24|64939463.157|5113|5271540.2844|5113|12700.853346|1031.0072921
secondary_sector|bd_11#inc_2016_2021|relative|25-64|119261449.97|5988|12389503.365|5988|19916.741811|2069.0553381
secondary_sector|bd_11#inc_2016_2021|relative|65+|172315993.12|7260|10592533.4|7260|23734.985279|1459.0266392
secondary_sector|bd_11#prev_2021|father|0-24|162049516.77|13765|13433223.814|13765|11772.576591|975.89711691
secondary_sector|bd_11#prev_2021|mother|0-24|199938542.66|14300|33938091.373|14300|13981.71627|2373.293103
secondary_sector|bd_11#prev_2021|relative|25-64|592278772.7|31368|45709758.3|31368|18881.623715|1457.2098412
secondary_sector|bd_11#prev_2021|relative|65+|350783061.19|14629|22790927.123|14629|23978.608325|1557.9278914
secondary_sector|bd_12#inc_2016_2021|father|0-24|293145550.52|24075|20939234.498|24075|12176.346855|869.75013492
secondary_sector|bd_12#inc_2016_2021|mother|0-24|275043528.39|19926|46173342.674|19926|13803.248439|2317.2409251
secondary_sector|bd_12#inc_2016_2021|relative|25-64|938502985.26|65662|25016952.047|65662|14292.939375|380.99588875
secondary_sector|bd_12#inc_2016_2021|relative|65+|154495678.79|6650|-8110165.632|6650|23232.432901|-1219.573779
secondary_sector|bd_12#prev_2021|father|0-24|350572957.88|27689|33227257.91|27689|12661.091331|1200.0165376
secondary_sector|bd_12#prev_2021|mother|0-24|303916457.07|22382|45873230.576|22382|13578.610359|2049.5590464
secondary_sector|bd_12#prev_2021|relative|25-64|4580660955.2|279750.95902|255781000.67|279750.95902|16374.067032|914.3167965
secondary_sector|bd_12#prev_2021|relative|65+|2072994183.3|84346.614754|7852134.4768|84346.614754|24577.088118|93.093652895
secondary_sector|bd_13#inc_2016_2021|father|0-24|14053602.766|1147|4825614.0458|1147|12252.487154|4207.1613302
secondary_sector|bd_13#inc_2016_2021|mother|0-24|19690096.179|1241|7889303.6527|1241|15866.314407|6357.2148692
secondary_sector|bd_13#inc_2016_2021|relative|25-64|57441855.666|3018|10638806.858|3018|19033.086702|3525.1182432
secondary_sector|bd_13#inc_2016_2021|relative|65+|44326826.532|1855|6979264.2984|1855|23895.863359|3762.4066299
