cost_component|cost_period|same_education_req|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|after_index|no|bd_00#inc_2016_2021|father|0-24|621051748.95|83170|51911348.109|83170|7467.2568108|624.15952999
secondary_sector|after_index|no|bd_00#inc_2016_2021|mother|0-24|594811071.15|67073|69189827.617|67073|8868.1149069|1031.5600557
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|25-64|303754810.42|55243.3504|39792874.367|55243.3504|5498.4863919|720.31971411
secondary_sector|after_index|no|bd_00#inc_2016_2021|grouped|25-64|2119139040.7|207868.41478|223128486.6|207868.41478|10194.617797|1073.412172
secondary_sector|after_index|no|bd_00#inc_2016_2021|parent|25-64|660008093.41|32665|46491129.715|32665|20205.360276|1423.2704643
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|25-64|887057689.6|90209|130165869.37|90209|9833.361301|1442.936618
secondary_sector|after_index|no|bd_00#inc_2016_2021|sibling|25-64|268318447.3|29751.064384|6678613.1388|29751.064384|9018.7848019|224.48316647
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|65+|587608416.41|66396|16418871.422|66396|8850.0574796|247.28705678
secondary_sector|after_index|no|bd_00#inc_2016_2021|grouped|65+|1635951167.4|108084|84395503.642|108084|15135.923609|780.83253434
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|65+|1048342751|41688|67976632.22|41688|25147.35058|1630.6043039
secondary_sector|after_index|yes|bd_00#inc_2016_2021|father|0-24|614435358.68|82645|65322305.984|82645|7434.6343841|790.39634563
secondary_sector|after_index|yes|bd_00#inc_2016_2021|mother|0-24|589430311.73|66540|52991498.014|66540|8858.2854182|796.38560286
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|25-64|300052460.33|54626.387634|44415336.412|54626.387634|5492.8116855|813.07474896
secondary_sector|after_index|yes|bd_00#inc_2016_2021|grouped|25-64|1995522930.5|198453.23017|171643637.44|198453.23017|10055.381456|864.90724936
secondary_sector|after_index|yes|bd_00#inc_2016_2021|parent|25-64|603270720.26|30317|36311070.509|30317|19898.76044|1197.713181
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|25-64|879224624.8|89641|104516791.75|89641|9808.2866635|1165.9485252
secondary_sector|after_index|yes|bd_00#inc_2016_2021|sibling|25-64|212975125.11|23868.842541|-13599561.23|23868.842541|8922.7252955|-569.7620742
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|65+|583683647.5|65978|40753527.872|65978|8846.6405089|617.68358956
secondary_sector|after_index|yes|bd_00#inc_2016_2021|grouped|65+|1621740148.5|107275|65459007.087|107275|15117.596351|610.19815509
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|65+|1038056501|41297|24705479.215|41297|25136.365862|598.23907826
secondary_sector|before_index|no|bd_00#inc_2016_2021|father|0-24|513251261.01|83170|43410707.639|83170|6171.1105088|521.95151664
secondary_sector|before_index|no|bd_00#inc_2016_2021|mother|0-24|567780659.67|67073|27132981.471|67073|8465.1150191|404.5291171
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|25-64|287512646.49|55243.3504|21145239.833|55243.3504|5204.4751886|382.76534063
secondary_sector|before_index|no|bd_00#inc_2016_2021|grouped|25-64|1769828036.6|207868.41478|141770626.47|207868.41478|8514.1748851|682.02101129
secondary_sector|before_index|no|bd_00#inc_2016_2021|parent|25-64|491625814.9|32665|14384742.455|32665|15050.537728|440.37172677
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|25-64|765287819.41|90209|94493981.262|90209|8483.4974273|1047.500596
secondary_sector|before_index|no|bd_00#inc_2016_2021|sibling|25-64|225401755.76|29751.064384|11746662.916|29751.064384|7576.258545|394.83168618
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|65+|490764533.4|66396|16465545.886|66396|7391.4773992|247.9900278
secondary_sector|before_index|no|bd_00#inc_2016_2021|grouped|65+|1385028088.5|108084|133402712.55|108084|12814.367423|1234.2503289
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|65+|894263555.11|41688|116937166.67|41688|21451.342235|2805.0558115
secondary_sector|before_index|yes|bd_00#inc_2016_2021|father|0-24|508366770.72|82645|44642956.693|82645|6151.2102452|540.17734519
secondary_sector|before_index|yes|bd_00#inc_2016_2021|mother|0-24|563680072.78|66540|55027026.265|66540|8471.2965552|826.97664961
secondary_sector|before_index|yes|bd_00#inc_2016_2021|child|25-64|284155365.83|54626.387634|28973381.025|54626.387634|5201.7967531|530.39167113
secondary_sector|before_index|yes|bd_00#inc_2016_2021|grouped|25-64|1674104298.1|198453.23017|134551250.27|198453.23017|8435.7624043|677.9997995
secondary_sector|before_index|yes|bd_00#inc_2016_2021|parent|25-64|449031369.92|30317|21803757.417|30317|14811.207241|719.19244706
secondary_sector|before_index|yes|bd_00#inc_2016_2021|partner|25-64|760060465.33|89641|83223708.138|89641|8478.9378223|928.41119731
secondary_sector|before_index|yes|bd_00#inc_2016_2021|sibling|25-64|180857097.03|23868.842541|550403.68912|23868.842541|7577.120538|23.059504799
