cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost_total|act_py|att_cost_total|att_py|n_cases_included|act_cost_per_person|att_cost_per_person|att_cost_prop
filled_prescriptions|after_index|no|bd_05#inc_2016_2021|child|65+|172261.85|119.7369863|-83014.20589|119.7369863|122|1438.6686631|-693.3046209|
filled_prescriptions|after_index|no|bd_05#inc_2016_2021|partner|65+|485519.6|119.20765027|47323.659016|119.20765027|120|4072.8896081|396.98508366|
filled_prescriptions|after_index|no|bd_05#inc_2016_2021|pooled|65+|660988.6|245.94463657|-108794.3969|245.94463657|249|2687.550374|-442.3531994|
filled_prescriptions|after_index|no|bd_05#inc_2016_2021|sibling|65+|3207.15|7|-73103.85|7|7|458.16428571|-10443.40714|
filled_prescriptions|after_index|no|bd_05#prev_2021|father|0-24|5643846.17|4057.7890411|959117.64082|4057.7890411|4061|1390.8673203|236.36458946|
filled_prescriptions|after_index|no|bd_05#prev_2021|mother|0-24|7242644.13|4241.6520548|500322.19082|4241.6520548|4249|1707.5054805|117.95455741|
filled_prescriptions|after_index|no|bd_05#prev_2021|child|25-64|178321.65|152|94989.15|152|152|1173.16875|624.92861842|
filled_prescriptions|after_index|no|bd_05#prev_2021|parent|25-64|6004520.03|1617.4328767|664363.37548|1617.4328767|1637|3712.3766411|410.75174435|
filled_prescriptions|after_index|no|bd_05#prev_2021|partner|25-64|1217771.85|670.29041096|255388.26548|670.29041096|672|1816.7824425|381.01136657|
filled_prescriptions|after_index|no|bd_05#prev_2021|pooled|25-64|9167555.46|3468.8493151|1125026.3841|3468.8493151|3492|2642.8232037|324.32264475|
filled_prescriptions|after_index|no|bd_05#prev_2021|sibling|25-64|1766941.93|1029.1260274|110285.59315|1029.1260274|1031|1716.9344502|107.16432217|
filled_prescriptions|after_index|no|bd_05#prev_2021|child|65+|237359.75|184.59726027|-40580.68342|184.59726027|186|1285.8248798|-219.8336171|
filled_prescriptions|after_index|no|bd_05#prev_2021|partner|65+|895895.74|206.48219178|63384.173836|206.48219178|212|4338.8523353|306.97162447|
filled_prescriptions|after_index|no|bd_05#prev_2021|pooled|65+|1319581.21|449.07945205|151247.06041|449.07945205|456|2938.4136904|336.79354448|
filled_prescriptions|after_index|no|bd_05#prev_2021|sibling|65+|186325.72|58|128443.57|58|58|3212.5124138|2214.5443103|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|father|0-24|25737.85|27|3989.6|27|27|953.2537037|147.76296296|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|mother|0-24|37606.9|28|7216.05|28|28|1343.1035714|257.71607143|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|child|25-64|517204.89|560.15774384|20732.452194|560.15774384|561|923.3200749|37.011810374|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|parent|25-64|1360112.46|266.53111011|77351.44983|266.53111011|276|5103.0157771|290.21546414|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|partner|25-64|3512301.53|1481.9778801|436789.21787|1481.9778801|1493|2370.0094159|294.73396583|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|pooled|25-64|6987012.03|2845.2908676|828275.7551|2845.2908676|2868|2455.6406902|291.10407113|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|sibling|25-64|1597393.15|536.62413354|293402.6352|536.62413354|538|2976.7448949|546.75631762|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|child|65+|44765198.09|22286.956232|3115137.6771|22286.956232|22349|2008.5828511|139.77402947|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|partner|65+|88062289.87|20098.860102|5305267.6169|20098.860102|20506|4381.4569296|263.95863198|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|pooled|65+|133570572.21|42635.193742|8455807.997|42635.193742|43107|3132.8712382|198.32929687|
filled_prescriptions|after_index|no|bd_06#inc_2016_2021|sibling|65+|743084.25|249.37740849|35402.702928|249.37740849|252|2979.7576874|141.96435492|
filled_prescriptions|after_index|no|bd_06#prev_2021|father|0-24|57225.25|63|-26969.2|63|63|908.33730159|-428.0825397|
filled_prescriptions|after_index|no|bd_06#prev_2021|mother|0-24|98585.86|59|49246.86|59|59|1670.9467797|834.69254237|
filled_prescriptions|after_index|no|bd_06#prev_2021|child|25-64|930085.24|672.64657534|233973.91027|672.64657534|674|1382.7250061|347.84078125|
filled_prescriptions|after_index|no|bd_06#prev_2021|parent|25-64|2046491.56|428.79452055|380577.13|428.79452055|436|4772.6625736|887.55129033|
filled_prescriptions|after_index|no|bd_06#prev_2021|partner|25-64|3789473.93|1411.4739726|953024.94986|1411.4739726|1418|2684.7635901|675.19838719|
filled_prescriptions|after_index|no|bd_06#prev_2021|pooled|25-64|8977320.62|3267.3643836|2067470.6751|3267.3643836|3289|2747.5725282|632.76403621|
filled_prescriptions|after_index|no|bd_06#prev_2021|sibling|25-64|2211269.89|754.44931507|499894.68496|754.44931507|761|2930.9720956|662.59545204|
filled_prescriptions|after_index|no|bd_06#prev_2021|child|65+|46122670.34|20464.054795|6022917.3376|20464.054795|20532|2253.8382937|294.31690826|
filled_prescriptions|after_index|no|bd_06#prev_2021|partner|65+|60685442.12|13295.126027|6910230.9959|13295.126027|13546|4564.487918|519.75671247|
filled_prescriptions|after_index|no|bd_06#prev_2021|pooled|65+|108062865.09|34145.150685|13020623.783|34145.150685|34467|3164.8085577|381.33156602|
filled_prescriptions|after_index|no|bd_06#prev_2021|sibling|65+|1254752.63|385.96986301|87475.449178|385.96986301|389|3250.9082968|226.63802944|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|father|0-24|33804179.06|23080.889954|4873523.528|23080.889954|23140|1464.5959981|211.14972333|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|mother|0-24|29305590.38|20451.212209|6340502.6351|20451.212209|20475|1432.9512637|310.03065101|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|child|25-64|13817094.84|18912.728864|3121826.7406|18912.728864|19016|730.57119039|165.06484934|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|parent|25-64|46526129.44|15156.326544|5973643.1707|15156.326544|15277|3069.7497382|394.13529086|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|partner|25-64|54325827.98|40880.487132|8839160.7208|40880.487132|41031|1328.8938511|216.21955463|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|pooled|25-64|132023378.53|87019.954952|20658756.061|87019.954952|87427|1517.1621107|237.40251385|
filled_prescriptions|after_index|no|bd_07#inc_2016_2021|sibling|25-64|17354326.27|12070.412411|2724125.4288|12070.412411|12103|1437.7575247|225.68619332|
