cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_00#inc_2016_2021|father|0-24|621051748.95|83170|55800985.211|83170|7467.2568108|670.92683913
secondary_sector|bd_00#inc_2016_2021|mother|0-24|594811071.15|67073|70100696.107|67073|8868.1149069|1045.1403114
secondary_sector|bd_00#inc_2016_2021|parent|25-64|851852920.91|42075|55631545.146|42075|20246.058726|1322.1995281
secondary_sector|bd_00#inc_2016_2021|partner|25-64|887425497.06|90209|106141099.05|90209|9837.4385822|1176.6131877
secondary_sector|bd_00#inc_2016_2021|sibling|25-64|469744163.79|50339.708294|10322369.911|50339.708294|9331.4836281|205.0542258
secondary_sector|bd_00#inc_2016_2021|child|65+|587621481.7|66396|28891292.205|66396|8850.2542578|435.13603538
secondary_sector|bd_00#inc_2016_2021|partner|65+|1048339514.8|41689|61370796.436|41689|25146.669741|1472.1100635
secondary_sector|bd_00#prev_2021|father|0-24|1030442020|131137|63781080.314|131137|7857.751969|486.36982937
secondary_sector|bd_00#prev_2021|mother|0-24|917560598.97|100582|128300068.69|100582|9122.5129642|1275.5768298
secondary_sector|bd_00#prev_2021|parent|25-64|4665390220.1|214959|273387915.74|214959|21703.628227|1271.8142331
secondary_sector|bd_00#prev_2021|partner|25-64|3494697597.6|365434|235858239.97|365434|9563.142996|645.41952847
secondary_sector|bd_00#prev_2021|sibling|25-64|2696212071.6|279204.93716|51645615.536|279204.93716|9656.7492647|184.97386207
secondary_sector|bd_00#prev_2021|child|65+|2116477561.1|246348.06284|113044165.35|246348.06284|8591.4114231|458.87986309
secondary_sector|bd_00#prev_2021|partner|65+|3582085636.7|148651|35994566.641|148651|24097.285835|242.14143626
secondary_sector|bd_01#inc_2016_2021|father|0-24|34385042.18|2264|9220587.5141|2264|15187.739479|4072.6976652
secondary_sector|bd_01#inc_2016_2021|mother|0-24|42835124.75|2767|9576324.1047|2767|15480.710065|3460.904989
