cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost|act_py|att_cost|att_py|n_cases_included|act_cost_py|att_cost_py
secondary_sector|before_index|no|bd_03#prev_2021|father|0-24|14358893.45|1140|3693103.1333|1140|1140|12595.52057|3239.564152
secondary_sector|before_index|no|bd_03#prev_2021|mother|0-24|16176952.038|1188|-72383.10883|1188|1188|13616.962995|-60.92854279
secondary_sector|before_index|no|bd_03#prev_2021|child|25-64|48429425.472|4204|-4734536.607|4204|4204|11519.844308|-1126.198051
secondary_sector|before_index|no|bd_03#prev_2021|parent|25-64|141296547.78|5403|21983045.47|5403|5403|26151.498757|4068.6739719
secondary_sector|before_index|no|bd_03#prev_2021|partner|25-64|133282855.96|9849|31012069.993|9849|9849|13532.628283|3148.7531722
secondary_sector|before_index|no|bd_03#prev_2021|pooled|25-64|383559379.23|23177|50347485.699|23177|23177|16549.138337|2172.3038227
secondary_sector|before_index|no|bd_03#prev_2021|sibling|25-64|60550550.016|3721|2086906.843|3721|3721|16272.655204|560.84569821
secondary_sector|before_index|no|bd_03#prev_2021|child|65+|47993457.788|3968|-2898579.191|3968|3968|12095.125451|-730.4887074
secondary_sector|before_index|no|bd_03#prev_2021|partner|65+|94384003.522|3739|310981.29967|3739|3739|25243.114074|83.172318713
secondary_sector|before_index|no|bd_03#prev_2021|pooled|65+|142377461.31|7707|-2587597.891|7707|7707|18473.785041|-335.7464502
secondary_sector|before_index|yes|bd_03#prev_2021|father|0-24|12959595.967|1092|3201190.0432|1092|1092|11867.761874|2931.4927135
secondary_sector|before_index|yes|bd_03#prev_2021|mother|0-24|15160199.298|1136|1647889.7031|1136|1136|13345.245861|1450.607133
secondary_sector|before_index|yes|bd_03#prev_2021|child|25-64|45355569.603|3955|13427215.286|3955|3955|11467.906347|3394.9975438
secondary_sector|before_index|yes|bd_03#prev_2021|parent|25-64|127657586.92|4815|25685066.096|4815|4815|26512.47911|5334.3854819
secondary_sector|before_index|yes|bd_03#prev_2021|partner|25-64|124085845.13|9443|27411418.547|9443|9443|13140.510974|2902.8294553
secondary_sector|before_index|yes|bd_03#prev_2021|pooled|25-64|328112601.97|20042|68582124.965|20042|20042|16371.250472|3421.9202158
secondary_sector|before_index|yes|bd_03#prev_2021|sibling|25-64|31013600.322|1829|2058425.0371|1829|1829|16956.588475|1125.4374177
secondary_sector|before_index|yes|bd_03#prev_2021|child|65+|45917112.939|3737|3522914.1495|3737|3737|12287.158935|942.71184092
secondary_sector|before_index|yes|bd_03#prev_2021|partner|65+|90254519.317|3607|-3197341.317|3607|3607|25022.045832|-886.4267582
secondary_sector|before_index|yes|bd_03#prev_2021|pooled|65+|136171632.26|7344|325572.83257|7344|7344|18541.888924|44.331812713
secondary_sector|after_index|no|bd_04#inc_2016_2021|father|0-24|4749919.3145|470.22208998|930802.89346|470.22208998|471|10101.438056|1979.4963131
