additional_relative_req|var_pop|agegroup|closest_relative_type|n_agegroup|closest_relative_type_n|has_control_closest_rel_prop
yes|bd_07#prev_2021|0-24|mother|40603|16253|0.39
yes|bd_07#prev_2021|0-24|no_relative|40603|5519|
yes|bd_07#prev_2021|25-64|child|491154|119717|0.23
yes|bd_07#prev_2021|25-64|father|491154|28270|0.05
yes|bd_07#prev_2021|25-64|mother|491154|53733|0.1
yes|bd_07#prev_2021|25-64|no_relative|491154|21252|
yes|bd_07#prev_2021|25-64|partner|491154|199086|0.39
yes|bd_07#prev_2021|25-64|sibling|491154|69096|0.08
yes|bd_07#prev_2021|65+|child|223742|102856|0.44
yes|bd_07#prev_2021|65+|no_relative|223742|42777|
yes|bd_07#prev_2021|65+|partner|223742|78109|0.33
yes|bd_08#inc_2016_2021|0-24|father|104676|49390|0.46
yes|bd_08#inc_2016_2021|0-24|mother|104676|51687|0.48
yes|bd_08#inc_2016_2021|0-24|no_relative|104676|3599|
yes|bd_08#inc_2016_2021|25-64|child|24563|2819|0.11
yes|bd_08#inc_2016_2021|25-64|father|24563|1784|0.07
yes|bd_08#inc_2016_2021|25-64|mother|24563|5648|0.22
yes|bd_08#inc_2016_2021|25-64|no_relative|24563|847|
yes|bd_08#inc_2016_2021|25-64|partner|24563|9691|0.38
yes|bd_08#inc_2016_2021|25-64|sibling|24563|3774|0.06
yes|bd_08#inc_2016_2021|65+|child|924|385|0.39
yes|bd_08#inc_2016_2021|65+|no_relative|924|174|
yes|bd_08#inc_2016_2021|65+|partner|924|365|0.38
yes|bd_08#prev_2021|0-24|father|176484|83499|0.46
yes|bd_08#prev_2021|0-24|mother|176484|87349|0.48
yes|bd_08#prev_2021|0-24|no_relative|176484|5636|
yes|bd_08#prev_2021|25-64|child|82932|8286|0.09
yes|bd_08#prev_2021|25-64|father|82932|7705|0.08
yes|bd_08#prev_2021|25-64|mother|82932|22470|0.26
yes|bd_08#prev_2021|25-64|no_relative|82932|1528|
yes|bd_08#prev_2021|25-64|partner|82932|27512|0.32
yes|bd_08#prev_2021|25-64|sibling|82932|15431|0.07
yes|bd_08#prev_2021|65+|child|2222|760|0.31
yes|bd_08#prev_2021|65+|no_relative|2222|624|
yes|bd_08#prev_2021|65+|partner|2222|838|0.36
yes|bd_09#inc_2016_2021|0-24|father|14196|6372|0.43
yes|bd_09#inc_2016_2021|0-24|mother|14196|7294|0.49
yes|bd_09#inc_2016_2021|0-24|no_relative|14196|530|
yes|bd_09#inc_2016_2021|25-64|child|9611|1323|0.13
yes|bd_09#inc_2016_2021|25-64|father|9611|784|0.07
yes|bd_09#inc_2016_2021|25-64|mother|9611|2480|0.24
yes|bd_09#inc_2016_2021|25-64|no_relative|9611|569|
yes|bd_09#inc_2016_2021|25-64|partner|9611|2233|0.22
yes|bd_09#inc_2016_2021|25-64|sibling|9611|2222|0.09
yes|bd_09#inc_2016_2021|65+|child|1099|521|0.44
yes|bd_09#inc_2016_2021|65+|no_relative|1099|182|
yes|bd_09#inc_2016_2021|65+|partner|1099|396|0.34
yes|bd_09#prev_2021|0-24|father|11565|5187|0.43
yes|bd_09#prev_2021|0-24|mother|11565|5991|0.5
yes|bd_09#prev_2021|0-24|no_relative|11565|387|
yes|bd_09#prev_2021|25-64|child|43103|6623|0.14
yes|bd_09#prev_2021|25-64|father|43103|3426|0.07
yes|bd_09#prev_2021|25-64|mother|43103|10796|0.23
yes|bd_09#prev_2021|25-64|no_relative|43103|1604|
yes|bd_09#prev_2021|25-64|partner|43103|10220|0.22
yes|bd_09#prev_2021|25-64|sibling|43103|10434|0.09
yes|bd_09#prev_2021|65+|child|4034|2012|0.47
yes|bd_09#prev_2021|65+|no_relative|4034|872|
yes|bd_09#prev_2021|65+|partner|4034|1150|0.27
yes|bd_10#inc_2016_2021|0-24|father|9372|4481|0.47
yes|bd_10#inc_2016_2021|0-24|mother|9372|4686|0.49
yes|bd_10#inc_2016_2021|0-24|no_relative|9372|205|
yes|bd_10#inc_2016_2021|25-64|child|1372|135|0.1
yes|bd_10#inc_2016_2021|25-64|father|1372|101|0.06
yes|bd_10#inc_2016_2021|25-64|mother|1372|340|0.24
yes|bd_10#inc_2016_2021|25-64|no_relative|1372|60|
yes|bd_10#inc_2016_2021|25-64|partner|1372|513|0.36
yes|bd_10#inc_2016_2021|25-64|sibling|1372|223|0.05
yes|bd_10#inc_2016_2021|65+|child|25||
yes|bd_10#inc_2016_2021|65+|no_relative|25||
yes|bd_10#inc_2016_2021|65+|partner|25||
yes|bd_10#prev_2021|0-24|father|10599|5073|0.47
yes|bd_10#prev_2021|0-24|mother|10599|5324|0.49
yes|bd_10#prev_2021|0-24|no_relative|10599|202|
yes|bd_10#prev_2021|25-64|child|11904|1206|0.1
yes|bd_10#prev_2021|25-64|father|11904|736|0.05
yes|bd_10#prev_2021|25-64|mother|11904|2323|0.19
yes|bd_10#prev_2021|25-64|no_relative|11904|126|
yes|bd_10#prev_2021|25-64|partner|11904|5929|0.48
yes|bd_10#prev_2021|25-64|sibling|11904|1584|0.04
yes|bd_10#prev_2021|65+|child|128|60|0.45
yes|bd_10#prev_2021|65+|no_relative|128|31|
yes|bd_10#prev_2021|65+|partner|128|37|0.28
yes|bd_11#inc_2016_2021|0-24|father|10875|4919|0.44
yes|bd_11#inc_2016_2021|0-24|mother|10875|5113|0.45
yes|bd_11#inc_2016_2021|0-24|no_relative|10875|843|
yes|bd_11#inc_2016_2021|25-64|child|7007|1069|0.14
yes|bd_11#inc_2016_2021|25-64|father|7007|230|0.03
yes|bd_11#inc_2016_2021|25-64|mother|7007|812|0.1
yes|bd_11#inc_2016_2021|25-64|no_relative|7007|423|
yes|bd_11#inc_2016_2021|25-64|partner|7007|3407|0.47
yes|bd_11#inc_2016_2021|25-64|sibling|7007|1066|0.08
yes|bd_11#inc_2016_2021|65+|child|8357|3147|0.36
yes|bd_11#inc_2016_2021|65+|no_relative|8357|1097|
yes|bd_11#inc_2016_2021|65+|partner|8357|4113|0.47
yes|bd_11#prev_2021|0-24|father|28744|13765|0.46
yes|bd_11#prev_2021|0-24|mother|28744|14300|0.48
yes|bd_11#prev_2021|0-24|no_relative|28744|679|
yes|bd_11#prev_2021|25-64|child|34324|3901|0.11
yes|bd_11#prev_2021|25-64|father|34324|1885|0.05
yes|bd_11#prev_2021|25-64|mother|34324|6038|0.16
yes|bd_11#prev_2021|25-64|no_relative|34324|958|
yes|bd_11#prev_2021|25-64|partner|34324|15519|0.44
yes|bd_11#prev_2021|25-64|sibling|34324|6023|0.08
yes|bd_11#prev_2021|65+|child|17254|6104|0.34
yes|bd_11#prev_2021|65+|no_relative|17254|2623|
yes|bd_11#prev_2021|65+|partner|17254|8527|0.48
yes|bd_12#inc_2016_2021|0-24|father|46853|24075|0.5
yes|bd_12#inc_2016_2021|0-24|mother|46853|19926|0.41
yes|bd_12#inc_2016_2021|0-24|no_relative|46853|2852|
yes|bd_12#inc_2016_2021|25-64|child|72494|11011|0.15
yes|bd_12#inc_2016_2021|25-64|father|72494|3427|0.04
yes|bd_12#inc_2016_2021|25-64|mother|72494|6939|0.09
yes|bd_12#inc_2016_2021|25-64|no_relative|72494|2413|
yes|bd_12#inc_2016_2021|25-64|partner|72494|42432|0.56
yes|bd_12#inc_2016_2021|25-64|sibling|72494|6272|0.04
yes|bd_12#inc_2016_2021|65+|child|7395|2678|0.34
yes|bd_12#inc_2016_2021|65+|no_relative|7395|745|
yes|bd_12#inc_2016_2021|65+|partner|7395|3972|0.52
yes|bd_12#prev_2021|0-24|father|53130|27689|0.51
yes|bd_12#prev_2021|0-24|mother|53130|22382|0.41
yes|bd_12#prev_2021|0-24|no_relative|53130|3059|
yes|bd_12#prev_2021|25-64|child|302175|51068|0.16
yes|bd_12#prev_2021|25-64|father|302175|12567|0.03
yes|bd_12#prev_2021|25-64|mother|302175|26038|0.08
yes|bd_12#prev_2021|25-64|no_relative|302175|5355|
yes|bd_12#prev_2021|25-64|partner|302175|181066|0.58
yes|bd_12#prev_2021|25-64|sibling|302175|26081|0.05
yes|bd_12#prev_2021|65+|child|94824|32589|0.33
yes|bd_12#prev_2021|65+|no_relative|94824|10477|
yes|bd_12#prev_2021|65+|partner|94824|51758|0.53
yes|bd_13#inc_2016_2021|0-24|father|2900|1147|0.38
yes|bd_13#inc_2016_2021|0-24|mother|2900|1241|0.41
yes|bd_13#inc_2016_2021|0-24|no_relative|2900|512|
yes|bd_13#inc_2016_2021|25-64|child|3353|458|0.13
yes|bd_13#inc_2016_2021|25-64|father|3353|97|0.02
yes|bd_13#inc_2016_2021|25-64|mother|3353|357|0.1
yes|bd_13#inc_2016_2021|25-64|no_relative|3353|118|
yes|bd_13#inc_2016_2021|25-64|partner|3353|1961|0.56
yes|bd_13#inc_2016_2021|25-64|sibling|3353|362|0.05
yes|bd_13#inc_2016_2021|65+|child|2092|861|0.39
yes|bd_13#inc_2016_2021|65+|no_relative|2092|237|
yes|bd_13#inc_2016_2021|65+|partner|2092|994|0.46
yes|bd_13#prev_2021|0-24|father|8786|4194|0.46
yes|bd_13#prev_2021|0-24|mother|8786|4420|0.49
yes|bd_13#prev_2021|0-24|no_relative|8786|172|
yes|bd_13#prev_2021|25-64|child|9295|1204|0.12
yes|bd_13#prev_2021|25-64|father|9295|327|0.03
yes|bd_13#prev_2021|25-64|mother|9295|1073|0.11
yes|bd_13#prev_2021|25-64|no_relative|9295|148|
yes|bd_13#prev_2021|25-64|partner|9295|5604|0.58
yes|bd_13#prev_2021|25-64|sibling|9295|939|0.04
yes|bd_13#prev_2021|65+|child|3825|1290|0.32
yes|bd_13#prev_2021|65+|no_relative|3825|380|
yes|bd_13#prev_2021|65+|partner|3825|2155|0.54
yes|bd_14#inc_2016_2021|0-24|father|8942|4174|0.44
yes|bd_14#inc_2016_2021|0-24|mother|8942|4411|0.47
yes|bd_14#inc_2016_2021|0-24|no_relative|8942|357|
yes|bd_14#inc_2016_2021|25-64|child|2140|97|0.04
yes|bd_14#inc_2016_2021|25-64|father|2140|201|0.08
yes|bd_14#inc_2016_2021|25-64|mother|2140|685|0.29
yes|bd_14#inc_2016_2021|25-64|no_relative|2140|152|
yes|bd_14#inc_2016_2021|25-64|partner|2140|320|0.14
yes|bd_14#inc_2016_2021|25-64|sibling|2140|685|0.13
yes|bd_14#inc_2016_2021|65+|child|378|35|0.09
yes|bd_14#inc_2016_2021|65+|no_relative|378|311|
yes|bd_14#inc_2016_2021|65+|partner|378|32|0.07
yes|bd_14#prev_2021|0-24|father|23565|11137|0.45
yes|bd_14#prev_2021|0-24|mother|23565|11984|0.48
yes|bd_14#prev_2021|0-24|no_relative|23565|444|
yes|bd_14#prev_2021|25-64|child|15195|547|0.03
yes|bd_14#prev_2021|25-64|father|15195|1521|0.09
yes|bd_14#prev_2021|25-64|mother|15195|5101|0.31
yes|bd_14#prev_2021|25-64|no_relative|15195|757|
yes|bd_14#prev_2021|25-64|partner|15195|2100|0.13
yes|bd_14#prev_2021|25-64|sibling|15195|5169|0.14
yes|bd_14#prev_2021|65+|child|1866|194|0.09
yes|bd_14#prev_2021|65+|no_relative|1866|1575|
yes|bd_14#prev_2021|65+|partner|1866|97|0.05
yes|bd_15#inc_2016_2021|0-24|father|835|393|0.45
yes|bd_15#inc_2016_2021|0-24|mother|835|405|0.46
yes|bd_15#inc_2016_2021|0-24|no_relative|835|37|
yes|bd_15#inc_2016_2021|25-64|child|3500|354|0.1
yes|bd_15#inc_2016_2021|25-64|father|3500|133|0.03
yes|bd_15#inc_2016_2021|25-64|mother|3500|376|0.1
yes|bd_15#inc_2016_2021|25-64|no_relative|3500|106|
yes|bd_15#inc_2016_2021|25-64|partner|3500|2223|0.61
yes|bd_15#inc_2016_2021|25-64|sibling|3500|308|0.03
yes|bd_15#inc_2016_2021|65+|child|367|114|0.29
yes|bd_15#inc_2016_2021|65+|no_relative|367|36|
yes|bd_15#inc_2016_2021|65+|partner|367|217|0.57
yes|bd_15#prev_2021|0-24|father|479|227|0.45
yes|bd_15#prev_2021|0-24|mother|479|238|0.47
yes|bd_15#prev_2021|0-24|no_relative|479|14|
yes|bd_15#prev_2021|25-64|child|12259|1595|0.12
yes|bd_15#prev_2021|25-64|father|12259|377|0.02
yes|bd_15#prev_2021|25-64|mother|12259|1292|0.1
yes|bd_15#prev_2021|25-64|no_relative|12259|224|
yes|bd_15#prev_2021|25-64|partner|12259|7559|0.6
yes|bd_15#prev_2021|25-64|sibling|12259|1212|0.05
yes|bd_15#prev_2021|65+|child|3784|1213|0.3
yes|bd_15#prev_2021|65+|no_relative|3784|404|
yes|bd_15#prev_2021|65+|partner|3784|2167|0.56
yes|bd_16#inc_2016_2021|0-24|father|848|384|0.43
yes|bd_16#inc_2016_2021|0-24|mother|848|406|0.45
yes|bd_16#inc_2016_2021|0-24|no_relative|848|58|
yes|bd_16#inc_2016_2021|25-64|child|1544|190|0.11
yes|bd_16#inc_2016_2021|25-64|father|1544|45|0.03
yes|bd_16#inc_2016_2021|25-64|mother|1544|158|0.1
yes|bd_16#inc_2016_2021|25-64|no_relative|1544|47|
yes|bd_16#inc_2016_2021|25-64|partner|1544|942|0.59
yes|bd_16#inc_2016_2021|25-64|sibling|1544|162|0.06
yes|bd_16#inc_2016_2021|65+|child|1106|355|0.31
yes|bd_16#inc_2016_2021|65+|no_relative|1106|110|
yes|bd_16#inc_2016_2021|65+|partner|1106|641|0.57
yes|bd_16#prev_2021|0-24|father|2002|970|0.47
yes|bd_16#prev_2021|0-24|mother|2002|985|0.48
yes|bd_16#prev_2021|0-24|no_relative|2002|47|
yes|bd_16#prev_2021|25-64|child|4378|517|0.11
yes|bd_16#prev_2021|25-64|father|4378|220|0.04
yes|bd_16#prev_2021|25-64|mother|4378|559|0.12
yes|bd_16#prev_2021|25-64|no_relative|4378|125|
yes|bd_16#prev_2021|25-64|partner|4378|2414|0.54
yes|bd_16#prev_2021|25-64|sibling|4378|543|0.06
yes|bd_16#prev_2021|65+|child|2637|854|0.31
yes|bd_16#prev_2021|65+|no_relative|2637|259|
yes|bd_16#prev_2021|65+|partner|2637|1524|0.56
yes|bd_17#inc_2016_2021|0-24|father|246|109|0.43
yes|bd_17#inc_2016_2021|0-24|mother|246|114|0.46
yes|bd_17#inc_2016_2021|0-24|no_relative|246|23|
yes|bd_17#inc_2016_2021|25-64|child|978|155|0.15
yes|bd_17#inc_2016_2021|25-64|father|978|22|0.02
yes|bd_17#inc_2016_2021|25-64|mother|978|66|0.06
yes|bd_17#inc_2016_2021|25-64|no_relative|978|46|
yes|bd_17#inc_2016_2021|25-64|partner|978|568|0.56
yes|bd_17#inc_2016_2021|25-64|sibling|978|121|0.08
yes|bd_17#inc_2016_2021|65+|child|1490|535|0.34
yes|bd_17#inc_2016_2021|65+|no_relative|1490|143|
yes|bd_17#inc_2016_2021|65+|partner|1490|812|0.52
yes|bd_17#prev_2021|0-24|father|646|314|0.46
yes|bd_17#prev_2021|0-24|mother|646|324|0.48
yes|bd_17#prev_2021|0-24|no_relative|646|8|
yes|bd_17#prev_2021|25-64|child|1711|280|0.15
yes|bd_17#prev_2021|25-64|father|1711|81|0.04
yes|bd_17#prev_2021|25-64|mother|1711|234|0.13
yes|bd_17#prev_2021|25-64|no_relative|1711|67|
yes|bd_17#prev_2021|25-64|partner|1711|799|0.45
yes|bd_17#prev_2021|25-64|sibling|1711|250|0.08
yes|bd_17#prev_2021|65+|child|1802|619|0.33
yes|bd_17#prev_2021|65+|no_relative|1802|211|
yes|bd_17#prev_2021|65+|partner|1802|972|0.52
yes|bd_18#inc_2016_2021|0-24|father|207||
yes|bd_18#inc_2016_2021|0-24|mother|207||
yes|bd_18#inc_2016_2021|0-24|no_relative|207||
yes|bd_18#inc_2016_2021|25-64|child|3071|363|0.11
yes|bd_18#inc_2016_2021|25-64|father|3071|63|0.01
yes|bd_18#inc_2016_2021|25-64|mother|3071|237|0.07
yes|bd_18#inc_2016_2021|25-64|no_relative|3071|80|
yes|bd_18#inc_2016_2021|25-64|partner|3071|2044|0.64
yes|bd_18#inc_2016_2021|25-64|sibling|3071|284|0.05
yes|bd_18#inc_2016_2021|65+|child|10502|3027|0.27
yes|bd_18#inc_2016_2021|65+|no_relative|10502|863|
yes|bd_18#inc_2016_2021|65+|partner|10502|6612|0.61
yes|bd_18#prev_2021|0-24|father|362|174|0.45
yes|bd_18#prev_2021|0-24|mother|362|180|0.47
yes|bd_18#prev_2021|0-24|no_relative|362|8|
yes|bd_18#prev_2021|25-64|child|5356|798|0.14
yes|bd_18#prev_2021|25-64|father|5356|129|0.02
yes|bd_18#prev_2021|25-64|mother|5356|451|0.07
yes|bd_18#prev_2021|25-64|no_relative|5356|96|
yes|bd_18#prev_2021|25-64|partner|5356|3314|0.6
yes|bd_18#prev_2021|25-64|sibling|5356|568|0.06
yes|bd_18#prev_2021|65+|child|16472|6018|0.35
yes|bd_18#prev_2021|65+|no_relative|16472|1504|
yes|bd_18#prev_2021|65+|partner|16472|8950|0.53
yes|bd_19#inc_2016_2021|0-24|father|14040|6631|0.45
yes|bd_19#inc_2016_2021|0-24|mother|14040|7010|0.48
yes|bd_19#inc_2016_2021|0-24|no_relative|14040|399|
yes|bd_19#inc_2016_2021|25-64|child|9712|1438|0.14
yes|bd_19#inc_2016_2021|25-64|father|9712|754|0.07
yes|bd_19#inc_2016_2021|25-64|mother|9712|2202|0.21
yes|bd_19#inc_2016_2021|25-64|no_relative|9712|246|
yes|bd_19#inc_2016_2021|25-64|partner|9712|3369|0.33
yes|bd_19#inc_2016_2021|25-64|sibling|9712|1703|0.06
yes|bd_19#inc_2016_2021|65+|child|282|137|0.46
yes|bd_19#inc_2016_2021|65+|no_relative|282|59|
yes|bd_19#inc_2016_2021|65+|partner|282|86|0.29
yes|bd_19#prev_2021|0-24|father|11271|5350|0.46
yes|bd_19#prev_2021|0-24|mother|11271|5583|0.48
yes|bd_19#prev_2021|0-24|no_relative|11271|338|
yes|bd_19#prev_2021|25-64|child|58363|9511|0.15
yes|bd_19#prev_2021|25-64|father|58363|4128|0.06
yes|bd_19#prev_2021|25-64|mother|58363|12053|0.19
yes|bd_19#prev_2021|25-64|no_relative|58363|1196|
yes|bd_19#prev_2021|25-64|partner|58363|20971|0.34
yes|bd_19#prev_2021|25-64|sibling|58363|10504|0.07
yes|bd_19#prev_2021|65+|child|4456|2066|0.43
yes|bd_19#prev_2021|65+|no_relative|4456|1081|
yes|bd_19#prev_2021|65+|partner|4456|1309|0.28
yes|bd_20#inc_2016_2021|0-24|father|872|408|0.46
yes|bd_20#inc_2016_2021|0-24|mother|872|422|0.47
yes|bd_20#inc_2016_2021|0-24|no_relative|872|42|
yes|bd_20#inc_2016_2021|25-64|child|9549|1455|0.14
yes|bd_20#inc_2016_2021|25-64|father|9549|224|0.02
yes|bd_20#inc_2016_2021|25-64|mother|9549|807|0.07
yes|bd_20#inc_2016_2021|25-64|no_relative|9549|278|
yes|bd_20#inc_2016_2021|25-64|partner|9549|5674|0.57
yes|bd_20#inc_2016_2021|25-64|sibling|9549|1111|0.07
yes|bd_20#inc_2016_2021|65+|child|13721|4506|0.31
yes|bd_20#inc_2016_2021|65+|no_relative|13721|1303|
yes|bd_20#inc_2016_2021|65+|partner|13721|7912|0.56
yes|bd_20#prev_2021|0-24|father|1259|609|0.47
yes|bd_20#prev_2021|0-24|mother|1259|612|0.47
yes|bd_20#prev_2021|0-24|no_relative|1259|38|
yes|bd_20#prev_2021|25-64|child|16232|2557|0.15
yes|bd_20#prev_2021|25-64|father|16232|404|0.02
yes|bd_20#prev_2021|25-64|mother|16232|1475|0.08
yes|bd_20#prev_2021|25-64|no_relative|16232|397|
yes|bd_20#prev_2021|25-64|partner|16232|9346|0.55
yes|bd_20#prev_2021|25-64|sibling|16232|2053|0.08
yes|bd_20#prev_2021|65+|child|26094|9504|0.34
yes|bd_20#prev_2021|65+|no_relative|26094|2743|
yes|bd_20#prev_2021|65+|partner|26094|13847|0.51
yes|bd_21#inc_2016_2021|0-24|father|17151|7945|0.44
yes|bd_21#inc_2016_2021|0-24|mother|17151|8627|0.48
yes|bd_21#inc_2016_2021|0-24|no_relative|17151|579|
yes|bd_21#inc_2016_2021|25-64|child|9792|1333|0.13
yes|bd_21#inc_2016_2021|25-64|father|9792|760|0.07
yes|bd_21#inc_2016_2021|25-64|mother|9792|2293|0.22
yes|bd_21#inc_2016_2021|25-64|no_relative|9792|787|
yes|bd_21#inc_2016_2021|25-64|partner|9792|2467|0.23
yes|bd_21#inc_2016_2021|25-64|sibling|9792|2152|0.09
yes|bd_21#inc_2016_2021|65+|child|2162|1008|0.43
yes|bd_21#inc_2016_2021|65+|no_relative|2162|641|
yes|bd_21#inc_2016_2021|65+|partner|2162|513|0.22
yes|bd_21#prev_2021|0-24|father|14944|6963|0.45
yes|bd_21#prev_2021|0-24|mother|14944|7571|0.49
yes|bd_21#prev_2021|0-24|no_relative|14944|410|
yes|bd_21#prev_2021|25-64|child|47279|5774|0.11
yes|bd_21#prev_2021|25-64|father|47279|3916|0.07
yes|bd_21#prev_2021|25-64|mother|47279|11885|0.23
yes|bd_21#prev_2021|25-64|no_relative|47279|2865|
yes|bd_21#prev_2021|25-64|partner|47279|11174|0.22
yes|bd_21#prev_2021|25-64|sibling|47279|11665|0.11
yes|bd_21#prev_2021|65+|child|9090|3657|0.38
yes|bd_21#prev_2021|65+|no_relative|9090|3647|
yes|bd_21#prev_2021|65+|partner|9090|1786|0.19
yes|bd_22#inc_2016_2021|0-24|father|82327|37378|0.44
yes|bd_22#inc_2016_2021|0-24|mother|82327|37852|0.44
yes|bd_22#inc_2016_2021|0-24|no_relative|82327|7097|
yes|bd_22#inc_2016_2021|25-64|child|160148|31290|0.19
yes|bd_22#inc_2016_2021|25-64|father|160148|7108|0.04
yes|bd_22#inc_2016_2021|25-64|mother|160148|16236|0.09
yes|bd_22#inc_2016_2021|25-64|no_relative|160148|7256|
yes|bd_22#inc_2016_2021|25-64|partner|160148|78000|0.47
yes|bd_22#inc_2016_2021|25-64|sibling|160148|20258|0.08
yes|bd_22#inc_2016_2021|65+|child|87813|40618|0.44
yes|bd_22#inc_2016_2021|65+|no_relative|87813|13510|
yes|bd_22#inc_2016_2021|65+|partner|87813|33685|0.37
yes|bd_22#prev_2021|0-24|father|81208|36998|0.44
yes|bd_22#prev_2021|0-24|mother|81208|36566|0.44
yes|bd_22#prev_2021|0-24|no_relative|81208|7644|
yes|bd_22#prev_2021|25-64|child|402783|94378|0.22
yes|bd_22#prev_2021|25-64|father|402783|18333|0.04
yes|bd_22#prev_2021|25-64|mother|402783|39812|0.09
yes|bd_22#prev_2021|25-64|no_relative|402783|16541|
yes|bd_22#prev_2021|25-64|partner|402783|177542|0.42
yes|bd_22#prev_2021|25-64|sibling|402783|56177|0.08
yes|bd_22#prev_2021|65+|child|285693|136428|0.46
yes|bd_22#prev_2021|65+|no_relative|285693|49076|
yes|bd_22#prev_2021|65+|partner|285693|100189|0.33
yes|bd_23#inc_2016_2021|0-24|father|56790|26418|0.45
yes|bd_23#inc_2016_2021|0-24|mother|56790|27174|0.46
yes|bd_23#inc_2016_2021|0-24|no_relative|56790|3198|
yes|bd_23#inc_2016_2021|25-64|child|48869|8980|0.17
yes|bd_23#inc_2016_2021|25-64|father|48869|2206|0.04
yes|bd_23#inc_2016_2021|25-64|mother|48869|6309|0.12
yes|bd_23#inc_2016_2021|25-64|no_relative|48869|2498|
yes|bd_23#inc_2016_2021|25-64|partner|48869|23392|0.46
yes|bd_23#inc_2016_2021|25-64|sibling|48869|5484|0.05
yes|bd_23#inc_2016_2021|65+|child|6100|2599|0.4
yes|bd_23#inc_2016_2021|65+|no_relative|6100|873|
yes|bd_23#inc_2016_2021|65+|partner|6100|2628|0.41
yes|bd_23#prev_2021|0-24|father|67450|31811|0.45
yes|bd_23#prev_2021|0-24|mother|67450|31871|0.46
yes|bd_23#prev_2021|0-24|no_relative|67450|3768|
yes|bd_23#prev_2021|25-64|child|168671|34926|0.19
yes|bd_23#prev_2021|25-64|father|168671|8983|0.04
yes|bd_23#prev_2021|25-64|mother|168671|24636|0.14
yes|bd_23#prev_2021|25-64|no_relative|168671|5765|
yes|bd_23#prev_2021|25-64|partner|168671|70863|0.4
yes|bd_23#prev_2021|25-64|sibling|168671|23498|0.06
yes|bd_23#prev_2021|65+|child|25445|11591|0.42
yes|bd_23#prev_2021|65+|no_relative|25445|4162|
yes|bd_23#prev_2021|65+|partner|25445|9692|0.36
yes|bd_24#inc_2016_2021|0-24|father|1136|467|0.4
yes|bd_24#inc_2016_2021|0-24|mother|1136|500|0.42
yes|bd_24#inc_2016_2021|0-24|no_relative|1136|169|
yes|bd_24#inc_2016_2021|25-64|child|23203|4452|0.17
yes|bd_24#inc_2016_2021|25-64|father|23203|458|0.02
yes|bd_24#inc_2016_2021|25-64|mother|23203|1597|0.06
yes|bd_24#inc_2016_2021|25-64|no_relative|23203|854|
yes|bd_24#inc_2016_2021|25-64|partner|23203|12868|0.53
yes|bd_24#inc_2016_2021|25-64|sibling|23203|2974|0.08
yes|bd_24#inc_2016_2021|65+|child|58980|26794|0.43
yes|bd_24#inc_2016_2021|65+|no_relative|58980|7793|
yes|bd_24#inc_2016_2021|65+|partner|58980|24393|0.4
yes|bd_24#prev_2021|0-24|father|1951|937|0.47
yes|bd_24#prev_2021|0-24|mother|1951|966|0.48
yes|bd_24#prev_2021|0-24|no_relative|1951|48|
yes|bd_24#prev_2021|25-64|child|36931|6907|0.17
yes|bd_24#prev_2021|25-64|father|36931|770|0.02
yes|bd_24#prev_2021|25-64|mother|36931|2840|0.07
yes|bd_24#prev_2021|25-64|no_relative|36931|975|
yes|bd_24#prev_2021|25-64|partner|36931|20708|0.54
yes|bd_24#prev_2021|25-64|sibling|36931|4731|0.08
yes|bd_24#prev_2021|65+|child|89392|37920|0.4
yes|bd_24#prev_2021|65+|no_relative|89392|10170|
yes|bd_24#prev_2021|65+|partner|89392|41302|0.44
yes|bd_25#inc_2016_2021|0-24|father|47587|21823|0.44
yes|bd_25#inc_2016_2021|0-24|mother|47587|23152|0.47
yes|bd_25#inc_2016_2021|0-24|no_relative|47587|2612|
yes|bd_25#inc_2016_2021|25-64|child|24110|3476|0.13
yes|bd_25#inc_2016_2021|25-64|father|24110|1020|0.04
yes|bd_25#inc_2016_2021|25-64|mother|24110|3194|0.12
yes|bd_25#inc_2016_2021|25-64|no_relative|24110|1110|
yes|bd_25#inc_2016_2021|25-64|partner|24110|12072|0.48
yes|bd_25#inc_2016_2021|25-64|sibling|24110|3238|0.07
yes|bd_25#inc_2016_2021|65+|child|22986|10609|0.44
yes|bd_25#inc_2016_2021|65+|no_relative|22986|3530|
yes|bd_25#inc_2016_2021|65+|partner|22986|8847|0.37
yes|bd_25#prev_2021|0-24|father|110022|52188|0.46
yes|bd_25#prev_2021|0-24|mother|110022|54908|0.49
yes|bd_25#prev_2021|0-24|no_relative|110022|2926|
yes|bd_25#prev_2021|25-64|child|115506|14792|0.12
yes|bd_25#prev_2021|25-64|father|115506|5781|0.04
yes|bd_25#prev_2021|25-64|mother|115506|17605|0.14
yes|bd_25#prev_2021|25-64|no_relative|115506|2119|
yes|bd_25#prev_2021|25-64|partner|115506|59505|0.5
yes|bd_25#prev_2021|25-64|sibling|115506|15704|0.06
yes|bd_25#prev_2021|65+|child|40446|16616|0.39
yes|bd_25#prev_2021|65+|no_relative|40446|5749|
yes|bd_25#prev_2021|65+|partner|40446|18081|0.43
