cost_component|cost_period|same_education_req|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|after_index|yes|bd_04#inc_2016_2021|child|25-64|8941593.4368|836.04538513|2271360.0434|836.04538513|10695.105309|2716.7903606
secondary_sector|after_index|yes|bd_04#inc_2016_2021|parent|25-64|12766574.088|458|-141821.2867|458|27874.615912|-309.6534643
secondary_sector|after_index|yes|bd_04#inc_2016_2021|partner|25-64|48501645.025|3540|1343625.7506|3540|13701.029668|379.55529679
secondary_sector|after_index|yes|bd_04#inc_2016_2021|pooled|25-64|74010982.67|5091.0453851|3461919.0599|5091.0453851|14537.482397|680.00161029
secondary_sector|after_index|yes|bd_04#inc_2016_2021|sibling|25-64|3801170.1203|257|-11245.44738|257|14790.545215|-43.75660461
secondary_sector|after_index|yes|bd_04#inc_2016_2021|child|65+|38449150.99|2661|852136.14968|2661|14449.136035|320.23154817
secondary_sector|after_index|yes|bd_04#inc_2016_2021|partner|65+|85903573.892|3126|-4001429.66|3126|27480.349933|-1280.047876
secondary_sector|after_index|yes|bd_04#inc_2016_2021|pooled|65+|124352724.88|5787|-3149293.51|5787|21488.288385|-544.2014015
secondary_sector|before_index|no|bd_04#inc_2016_2021|father|0-24|4484381.551|471|-571893.4942|471|9520.9799384|-1214.21124
secondary_sector|before_index|no|bd_04#inc_2016_2021|mother|0-24|8782368.764|501|3290259.9926|501|17529.678172|6567.3852147
secondary_sector|before_index|no|bd_04#inc_2016_2021|child|25-64|10451862.981|849.946755|3483670.1911|849.946755|12297.079693|4098.6922659
secondary_sector|before_index|no|bd_04#inc_2016_2021|parent|25-64|14599481.094|522|2385384.6008|522|27968.354587|4569.7023003
secondary_sector|before_index|no|bd_04#inc_2016_2021|partner|25-64|47385305.521|3552|1518043.3407|3552|13340.457635|427.37706663
secondary_sector|before_index|no|bd_04#inc_2016_2021|pooled|25-64|79542384.8|5315.946755|8442745.3638|5315.946755|14962.976205|1588.1922361
secondary_sector|before_index|no|bd_04#inc_2016_2021|sibling|25-64|7105735.2037|392|1055647.2312|392|18126.87552|2692.9776307
